,name,label,release,tt_home,blackout_point
0,CB_Ball_65.1_b_c.mp4,165,4410,567.6580645161291,4812.658065
15,CB_Ball_65.1_b_c.mp4,173.373806,4410,567.6580645161291,4804.284259
30,CB_Ball_65.1_b_c.mp4,190.12142,4410,567.6580645161291,4787.536645
1,CB_Strike_68.6_b_c.mp4,165,1570,538.6959184,1943.695918
16,CB_Strike_68.6_b_c.mp4,173.373806,1570,538.6959184,1935.322112
31,CB_Strike_68.6_b_c.mp4,190.12142,1570,538.6959184,1918.574498
2,CH_Ball_72.7_b_c.mp4,165,4720,508.3155433287483,5063.315543
17,CH_Ball_72.7_b_c.mp4,173.373806,4720,508.3155433287483,5054.941737
32,CH_Ball_72.7_b_c.mp4,190.12142,4720,508.3155433287483,5038.194123
33,CH_Ball_72.8_b_c.mp4,165,3410,507.61730769230775,3752.617308
18,CH_Ball_72.8_b_c.mp4,173.373806,3410,507.61730769230775,3744.243502
3,CH_Ball_72.8_b_c.mp4,190.12142,3410,507.61730769230775,3727.495888
19,FF_Ball_82.3_b_c.mp4,165,3270,449.0223572296477,3554.022357
34,FF_Ball_82.3_b_c.mp4,173.373806,3270,449.0223572296477,3545.648551
4,FF_Ball_82.3_b_c.mp4,190.12142,3270,449.0223572296477,3528.900937
35,FF_Ball_85.3_b_c.mp4,165,4840,433.23024618991803,5108.230246
5,FF_Ball_85.3_b_c.mp4,173.373806,4840,433.23024618991803,5099.85644
20,FF_Ball_85.3_b_c.mp4,190.12142,4840,433.23024618991803,5083.108826
36,FF_Strike_81.4_b_c.mp4,165,4840,453.9869778869779,5128.986978
6,FF_Strike_81.4_b_c.mp4,173.373806,4840,453.9869778869779,5120.613172
21,FF_Strike_81.4_b_c.mp4,190.12142,4840,453.9869778869779,5103.865558
7,FF_Strike_81.6_b_c.mp4,165,3570,452.8742647058824,3857.874265
22,FF_Strike_81.6_b_c.mp4,173.373806,3570,452.8742647058824,3849.500459
37,FF_Strike_81.6_b_c.mp4,190.12142,3570,452.8742647058824,3832.752845
23,FF_Strike_82.5_b_c.mp4,165,4000,447.9338181818182,4282.933818
38,FF_Strike_82.5_b_c.mp4,173.373806,4000,447.9338181818182,4274.560012
8,FF_Strike_82.5_b_c.mp4,190.12142,4000,447.9338181818182,4257.812398
24,FF_Strike_87.8_b_c.mp4,165,3180,420.8945330296128,3435.894533
39,FF_Strike_87.8_b_c.mp4,173.373806,3180,420.8945330296128,3427.520727
9,FF_Strike_87.8_b_c.mp4,190.12142,3180,420.8945330296128,3410.773113
25,SL_Ball_72.4_b_c.mp4,165,3990,510.42182320441987,4335.421823
40,SL_Ball_72.4_b_c.mp4,173.373806,3990,510.42182320441987,4327.048017
10,SL_Ball_72.4_b_c.mp4,190.12142,3990,510.42182320441987,4310.300403
26,SL_Ball_72.6_b_c.mp4,165,5830,509.0157024793389,6174.015702
41,SL_Ball_72.6_b_c.mp4,173.373806,5830,509.0157024793389,6165.641896
11,SL_Ball_72.6_b_c.mp4,190.12142,5830,509.0157024793389,6148.894282
12,SL_Strike_71.8_b_c.mp4,165,3730,514.6871866295265,4079.687187
27,SL_Strike_71.8_b_c.mp4,173.373806,3730,514.6871866295265,4071.313381
42,SL_Strike_71.8_b_c.mp4,190.12142,3730,514.6871866295265,4054.565767
13,SL_Strike_72.4_b_c.mp4,165,6510,510.42182320441987,6855.421823
28,SL_Strike_72.4_b_c.mp4,173.373806,6510,510.42182320441987,6847.048017
43,SL_Strike_72.4_b_c.mp4,190.12142,6510,510.42182320441987,6830.300403
29,SL_Strike_73.1_b_c.mp4,165,5010,505.5340629274967,5350.534063
14,SL_Strike_73.1_b_c.mp4,173.373806,5010,505.5340629274967,5342.160257
44,SL_Strike_73.1_b_c.mp4,190.12142,5010,505.5340629274967,5325.412643
